vw_replacement_average_mnth_data,query,/Service Data Analytics/IB Upgrades/Pivotal Information Links/,/Service Data Analytics/Upgrades Dashboard/Information Links/
vw_sfdc_reporting_fact_IL,query,/Service Data Analytics/IB Upgrades/Pivotal Information Links/,/Service Data Analytics/Upgrades Dashboard/Information Links/
vw_upgrade_reporting_fact_il,query,/Service Data Analytics/IB Upgrades/Pivotal Information Links/,/Service Data Analytics/Upgrades Dashboard/Information Links/
Writeback_replace_reporting_fact_IL,query,/Service Data Analytics/IB Upgrades/Pivotal Information Links/,/Service Data Analytics/Upgrades Dashboard/Information Links/
Writeback_upgrade_sfdc_comments_insert_IL,query,/Service Data Analytics/IB Upgrades/Pivotal Information Links/,/Service Data Analytics/Upgrades Dashboard/Information Links/
vw_machine_average_daily_data_dtl,query,/Service Data Analytics/IB Upgrades/Pivotal Information Links/,/Service Data Analytics/Upgrades Dashboard/Information Links/
IB Upgrade,dxp,/Service Data Analytics/IB Upgrades/Analysis/,/Service Data Analytics/Upgrades Dashboard/Analyses/
Machine Utilization,dxp,/Service Data Analytics/IB Upgrades/Analysis/,/Service Data Analytics/Upgrades Dashboard/Analyses/
Liquid Bearing vs Ball Bearing Tubes,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
Workforce Deployment,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Service Suite/Service Delivery/Workforce Deployment/Analysis/
Traced Part Failure Rate (TPFR),dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Service Suite/Reliability/TPFR/Analysis/
Reliability_ELF Bowler Dashboard,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
IFR Snapshot Summary,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
SR Search Tool,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
First Call Resolution (FCR),dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Service Suite/Service Delivery/FCR/Analysis/
Reliability_ELF 4-Blocker,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
SR Details Extract,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
Service Analytics Usage,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Usage Data/Analysis/
LLFRU,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
Material Consumption Report,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/Draft Analytics/
Tube Details,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Profitability/Analysis/
SR Drivers,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
DevonWay HR,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
List of Parts and System ID Exclusions,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/Draft Analytics/
FMI Field Actions,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Service Suite/Service Costs/FMI/Analysis/
CHU Summary from SR Summary,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
Key Group Dashboard,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
Reliability_IFR Dashboard,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
System Charts,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
SR Details Report,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
Service Quality Scorecard,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
Material Usage Report,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
System Chart by Activity,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
SR Exclusions,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
Installation,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
PM Dashboard,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
Field Experience,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Service Suite/Service Delivery/Field Experience/Analysis/
Average Labor Hours for Part Replacement,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
DevonWay ELF Savings,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
Defective Part Returns,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
Data Integrity,dxp,/Service Data Analytics/IB Intel/Analysis,/Service Data Analytics/Project-X CTS/Analysis/
DFR Design,dxp,/Service Data Analytics/Service Request/Analysis/,/Service Data Analytics/Project X Reliability/Analysis/
