OBJECT_NAME,OBJECT_TYPE,SOURCE_LOCATION,TARGET_LOCATION
First Call Resolution (FCR),dxp,/Service Data Analytics/Service Suite/Service Delivery/FCR/Analysis/,/Service Data Analytics/Service Suite/Service Delivery/FCR/Analysis/
System Chart by Activity,dxp,/Service Data Analytics/Project-X CTS/Analysis/,/Service Data Analytics/Project-X CTS/Analysis/
